time,gFx,gFy,gFz,TgF,Activity,Subject
3.719006,0.3026,-0.4032,-0.8608,1.0,LAYING,LAKSH
3.738066,0.3016,-0.4014,-0.8638,1.0,LAYING,LAKSH
3.751679,0.3019,-0.3993,-0.8662,1.0,LAYING,LAKSH
3.768773,0.2992,-0.4017,-0.8691,1.0,LAYING,LAKSH
3.801615,0.3026,-0.4027,-0.8628,1.0,LAYING,LAKSH
3.818601,0.2983,-0.401,-0.8657,1.0,LAYING,LAKSH
3.841137,0.3021,-0.4,-0.8664,1.0,LAYING,LAKSH
3.852596,0.2958,-0.4012,-0.8652,1.0,LAYING,LAKSH
3.869992,0.299,-0.4,-0.8652,1.0,LAYING,LAKSH
3.901472,0.2992,-0.4007,-0.8691,1.0,LAYING,LAKSH
3.918129,0.2976,-0.4007,-0.8679,1.0,LAYING,LAKSH
3.94015,0.2963,-0.401,-0.8684,1.0,LAYING,LAKSH
3.951849,0.2941,-0.401,-0.8645,1.0,LAYING,LAKSH
3.985005,0.2929,-0.4024,-0.8706,1.0,LAYING,LAKSH
4.001004,0.2899,-0.4022,-0.8733,1.0,LAYING,LAKSH
4.017596,0.2951,-0.4059,-0.8762,1.01,LAYING,LAKSH
4.041569,0.3026,-0.4054,-0.8657,1.0,LAYING,LAKSH
4.06719,0.3026,-0.4019,-0.8552,0.99,LAYING,LAKSH
4.084936,0.2976,-0.397,-0.862,0.99,LAYING,LAKSH
4.102166,0.2939,-0.3979,-0.8738,1.0,LAYING,LAKSH
4.119349,0.2927,-0.4019,-0.8736,1.01,LAYING,LAKSH
4.141902,0.2943,-0.4035,-0.8674,1.0,LAYING,LAKSH
4.167489,0.2967,-0.4049,-0.8643,1.0,LAYING,LAKSH
4.184726,0.2983,-0.4054,-0.8652,1.0,LAYING,LAKSH
4.203909,0.3016,-0.4032,-0.8633,1.0,LAYING,LAKSH
4.218691,0.3029,-0.3973,-0.8687,1.0,LAYING,LAKSH
4.238008,0.3039,-0.3986,-0.8671,1.0,LAYING,LAKSH
4.270493,0.3039,-0.4005,-0.8606,1.0,LAYING,LAKSH
4.285003,0.3056,-0.3986,-0.8645,1.0,LAYING,LAKSH
4.302062,0.3092,-0.4007,-0.8643,1.0,LAYING,LAKSH
4.317592,0.3104,-0.4037,-0.8631,1.0,LAYING,LAKSH
4.338447,0.3104,-0.403,-0.8615,1.0,LAYING,LAKSH
4.368173,0.31,-0.4002,-0.8622,1.0,LAYING,LAKSH
4.386349,0.31,-0.4012,-0.8643,1.0,LAYING,LAKSH
4.402121,0.3085,-0.4035,-0.8625,1.0,LAYING,LAKSH
4.439957,0.3158,-0.4079,-0.8603,1.0,LAYING,LAKSH
4.440383,0.3158,-0.4079,-0.8603,1.0,LAYING,LAKSH
4.466709,0.3181,-0.4037,-0.8559,1.0,LAYING,LAKSH
4.483694,0.3195,-0.4007,-0.855,1.0,LAYING,LAKSH
4.501878,0.3202,-0.4019,-0.853,1.0,LAYING,LAKSH
4.534757,0.3237,-0.4037,-0.8594,1.0,LAYING,LAKSH
4.555513,0.3246,-0.4024,-0.8576,1.0,LAYING,LAKSH
4.567747,0.3244,-0.403,-0.8559,1.0,LAYING,LAKSH
4.583822,0.3246,-0.401,-0.8528,1.0,LAYING,LAKSH
4.60152,0.3263,-0.4035,-0.8538,1.0,LAYING,LAKSH
4.634524,0.3258,-0.4039,-0.854,1.0,LAYING,LAKSH
4.657053,0.3276,-0.4027,-0.8566,1.0,LAYING,LAKSH
4.668793,0.3268,-0.4044,-0.855,1.0,LAYING,LAKSH
4.683511,0.3295,-0.4051,-0.8554,1.0,LAYING,LAKSH
4.701872,0.3298,-0.4037,-0.8547,1.0,LAYING,LAKSH
4.734537,0.3319,-0.4042,-0.852,1.0,LAYING,LAKSH
4.761858,0.3346,-0.4051,-0.8533,1.0,LAYING,LAKSH
4.772502,0.3356,-0.4068,-0.8559,1.01,LAYING,LAKSH
4.784259,0.3363,-0.4059,-0.854,1.0,LAYING,LAKSH
4.816708,0.3363,-0.4027,-0.8496,1.0,LAYING,LAKSH
4.833763,0.3383,-0.403,-0.8459,1.0,LAYING,LAKSH
4.85861,0.3393,-0.4,-0.8503,1.0,LAYING,LAKSH
4.879667,0.343,-0.4012,-0.853,1.0,LAYING,LAKSH
4.886218,0.3456,-0.4035,-0.8503,1.0,LAYING,LAKSH
4.916633,0.3525,-0.4039,-0.8405,1.0,LAYING,LAKSH
4.934504,0.3519,-0.4056,-0.8276,0.99,LAYING,LAKSH
4.956105,0.3449,-0.3986,-0.8415,0.99,LAYING,LAKSH
4.968971,0.3419,-0.4007,-0.8501,1.0,LAYING,LAKSH
4.99932,0.3412,-0.4051,-0.8479,1.0,LAYING,LAKSH
5.016734,0.3447,-0.4093,-0.8415,1.0,LAYING,LAKSH
5.035317,0.3466,-0.4095,-0.8398,1.0,LAYING,LAKSH
5.055113,0.3493,-0.4081,-0.8447,1.0,LAYING,LAKSH
5.083293,0.3484,-0.4044,-0.8449,1.0,LAYING,LAKSH
5.0989,0.3495,-0.4049,-0.8437,1.0,LAYING,LAKSH
5.116489,0.3512,-0.4044,-0.8389,1.0,LAYING,LAKSH
5.142774,0.3491,-0.4035,-0.8393,0.99,LAYING,LAKSH
5.149385,0.3488,-0.4027,-0.8389,0.99,LAYING,LAKSH
5.182885,0.3495,-0.4051,-0.842,1.0,LAYING,LAKSH
5.199362,0.3493,-0.4063,-0.8433,1.0,LAYING,LAKSH
5.216488,0.3471,-0.4061,-0.8391,0.99,LAYING,LAKSH
5.236219,0.3449,-0.4039,-0.8447,1.0,LAYING,LAKSH
5.266415,0.3414,-0.4073,-0.8479,1.0,LAYING,LAKSH
5.282696,0.3422,-0.4061,-0.8498,1.0,LAYING,LAKSH
5.299531,0.3395,-0.4083,-0.8508,1.0,LAYING,LAKSH
5.315297,0.3402,-0.4059,-0.8477,1.0,LAYING,LAKSH
5.335399,0.3435,-0.4071,-0.844,1.0,LAYING,LAKSH
5.364901,0.3417,-0.4051,-0.8428,1.0,LAYING,LAKSH
5.38242,0.3419,-0.4037,-0.8461,1.0,LAYING,LAKSH
5.398589,0.341,-0.4051,-0.8486,1.0,LAYING,LAKSH
5.415344,0.34,-0.4044,-0.8491,1.0,LAYING,LAKSH
5.439802,0.3388,-0.4051,-0.8471,1.0,LAYING,LAKSH
5.464475,0.3363,-0.4063,-0.8466,1.0,LAYING,LAKSH
5.481965,0.3337,-0.4061,-0.8482,1.0,LAYING,LAKSH
5.498642,0.3317,-0.4042,-0.8486,1.0,LAYING,LAKSH
5.515736,0.333,-0.4051,-0.8496,1.0,LAYING,LAKSH
5.541358,0.3317,-0.4056,-0.8552,1.0,LAYING,LAKSH
5.564883,0.3265,-0.4042,-0.8542,1.0,LAYING,LAKSH
